Id,ÐÔ×´1,ÐÔ×´2,blueref,greenref,redref,rededgeref,NIRref,GIgreen,CIre,DVI,EVI,ExG,GBNDVI,GNDVI,MEVI,MSR,MTCI,MTVI2,NDVI,NDRE,NGRDI,NIRRENDVI,NPCI,PSRI,REDVI,RENDVI,RERVI,RGRI,RVI,TCVI,SARE,SAVI,LCI,OSAVI
509,105,38.1,0.199856446,0.181991391,0.162154228,0.286143524,0.357988205,0.967061204,0.251079177,0.195833977,0.588450353,0.003625186,-0.032249891,0.325932341,0.10504137,0.16734599,0.579442601,-0.048214814,0.376500676,0.111537248,0.057641773,0.33024577,-0.104146703,-0.105316928,0.071844681,0.276578002,1.251079177,0.89099944,2.207701953,-0.740274347,0.330351338,0.504282804,0.138125014,0.287930833
516,97.22,32.3,0.169669331,0.157900192,0.093612429,0.272133973,0.376697506,1.385668442,0.384235496,0.283085077,1.06286771,0.124693437,0.069757607,0.409274702,0.143218104,0.248841556,0.585719401,-0.022570059,0.601911753,0.161156688,0.255604524,0.552123825,-0.288880257,-0.201904449,0.104563532,0.488101985,1.384235496,0.59285823,4.024011677,-2.366582785,0.366332744,0.643004544,0.222328989,0.449120443
518,82.5,31.8,0.192577674,0.142519726,0.113698297,0.264754032,0.380541536,1.670097309,0.437339907,0.266843239,1.078766869,-0.047318903,0.063501486,0.455055321,0.152338526,0.280130927,0.766521734,-0.019604442,0.539906379,0.179433285,0.112487904,0.478861839,-0.257543472,-0.207281911,0.115787504,0.399140719,1.437339907,0.797772356,3.34694138,-2.214790299,0.379328803,0.608544688,0.234273921,0.407867612
519,88.46,36.4,0.164009377,0.104831991,0.111521648,0.197790792,0.300788662,1.86924497,0.520741486,0.189267015,0.639546768,-0.173168896,0.056084287,0.483103289,0.151352298,0.327988052,1.193913214,0.002931915,0.459040218,0.206582662,-0.030920011,0.381828537,-0.190496622,-0.174500359,0.102997871,0.278906157,1.520741486,1.063813125,2.697132516,-0.772720294,0.3875911,0.535767882,0.249806683,0.330706981
525,89.98,43.5,0.252800204,0.227172378,0.174474178,0.349307837,0.427103572,0.880085843,0.222713971,0.252629394,1.092787692,0.041363754,-0.058285084,0.305576254,0.106911749,0.149384546,0.444970011,-0.060057088,0.419944711,0.100199114,0.131205409,0.379845688,-0.183315522,-0.183388835,0.077795735,0.333790879,1.222713971,0.768025493,2.447947186,-13.55827862,0.325793911,0.546660398,0.129319503,0.331718455
526,79.12,38.4,0.189777765,0.146272411,0.125571952,0.251836132,0.328795786,1.247831861,0.305594168,0.203223834,0.771079089,-0.049401649,-0.010911385,0.384204575,0.110398497,0.201258221,0.60951295,-0.045526729,0.447267307,0.132544648,0.076148202,0.396125983,-0.203601938,-0.195275658,0.076959653,0.334556111,1.305594168,0.858480083,2.618385568,-1.434584018,0.342651934,0.53851951,0.16937746,0.330785329
528,81.1,39,0.191315701,0.15773734,0.114047884,0.254283155,0.338873367,1.148339559,0.332661487,0.224825483,0.955414713,0.021833459,-0.01479762,0.364744507,0.125762841,0.217809423,0.603202119,-0.024204736,0.496389786,0.142610271,0.16074993,0.444517182,-0.253035465,-0.228013837,0.084590212,0.380731613,1.332661487,0.723024011,2.971325333,-2.466171419,0.350325634,0.569844481,0.186765828,0.366809737
531,87.96,42.7,0.245274983,0.217506227,0.159160569,0.314223796,0.378707043,0.741131957,0.205214399,0.219546475,1.110822117,0.04916361,-0.099911278,0.270374418,0.098733922,0.138191847,0.415851318,-0.046202372,0.408179392,0.093058706,0.154899926,0.370441503,-0.212924937,-0.22739058,0.064483247,0.327563052,1.205214399,0.731751778,2.379402427,-23.48969098,0.318385978,0.528659094,0.119886838,0.314596165
533,84.96,42.5,0.230581834,0.205630895,0.140877954,0.304733286,0.372272794,0.810393294,0.221634824,0.23139484,1.184995174,0.068970101,-0.079086062,0.288355831,0.101811756,0.148696813,0.41218987,-0.046041837,0.450929559,0.099762041,0.186872404,0.412250567,-0.241490153,-0.240962763,0.067539508,0.367709155,1.221634824,0.685101105,2.642519887,-16.78798948,0.322857675,0.553209872,0.131617285,0.343748917
535,82.76,39.4,0.175255192,0.165767788,0.116985254,0.267618435,0.340840235,1.056130686,0.273605214,0.223854981,0.768376216,0.085795682,-0.000268009,0.345577724,0.107470974,0.181454123,0.486093426,-0.04449124,0.48895264,0.120339808,0.172527,0.444533704,-0.199390398,-0.170959684,0.073221799,0.391658182,1.273605214,0.705717651,2.913531613,-1.386291035,0.335294496,0.566257305,0.159933864,0.362327203
